1000@214,44@2,20234@2581,92@529,389
1151@213,02@0,618973@3171,16@616,547
1326@215,74@0,674699@3814,96@698,911
1526@220,32@0,351816@4408,58@758,126
1758@222,56@0,851392@5071,76@817,798
2024@223,88@0,486619@5819,1@879,421
2330@227,36@0,496131@6838,12@968,408
2683@230,94@0,347945@7892,8@1045,95
3089@235,68@0,407473@9103,46@1128,21
3556@237,68@0,311425@10764,6@1248,27
4095@242,06@0,320569@12443,5@1348,25
4715@244,06@0,314654@14332,7@1450,82
5429@249,72@0,39055@16722,4@1580,84
6251@252,34@0,307018@19837,9@1751,64
7197@254,56@0,182734@23585,9@1944,69
8286@258,02@0,244905@28959,1@2229,52%
