100@5,74@2,10148
101@58,4@250,444
102@5,98@1,58727
103@5,94@3,46525
104@5,3@1,07641
105@5,96@4,44428
106@5,08@0,38461
107@5,56@1,94869
108@5,4@1,90516
109@5,92@0,183743
110@5,5@1,62509
111@5,94@0,411764
112@17,3@40,4102
113@7,16@1,65823
114@8,5@11,0297
115@6,04@0,184627
116@14,04@36,9496
117@6,06@0,274563
118@6,1@0,268391
119@6,06@0,272246
120@7,6@7,04746
121@6,04@0,125967
122@7,16@0,563362
124@7,12@0,394314
125@8,16@4,69444
126@7@0
127@7,32@0,942772
128@7,08@0,35
129@228,96@966,859
131@7,12@0,235738
132@7,78@0,254951
133@8,12@0,380739
134@245,92@1016,98
136@8,14@0,383674
137@8,1@0,276844
138@8,16@0,456197
139@8,12@0,352586
141@8,28@0,413256
142@8,68@0,401406
143@9@0
145@353@1413,27
146@9,12@0,344029
147@9,42@0,572499
149@9,84@0,354454
150@10,28@1,05224
151@10,12@0,409166
153@10,08@0,251531
154@10,16@0,208893
156@11,1@0,70937
157@323,84@1239,61
159@10,96@0,109888
160@11,04@0,156525
162@11,2@0,41574
163@11,84@0,356534
165@12,3@0,854578
166@11,78@0,562803
168@12,14@0,288881
169@285,92@1042,33
171@12,02@0,0757033
172@12,28@0,242084
174@13,18@0,675431
175@13,28@0,800286
177@13,08@0,233857
179@13@0
180@13,06@0,221359
182@414,18@1466,54
184@14@0
185@14,24@0,53585
187@15,16@0,348565
189@15@0
191@15,14@0,434265
192@15,88@1,23592
194@15,44@0,593435
196@16,2@0,534522
198@16@0
200@16,02@0,07
202@16,16@0,491109
203@16,84@0,59852
205@17,92@1,20098
207@18,26@0,627933
209@18,78@0,202614
211@430,62@1402,61
213@18,92@0,373286
215@19,38@0,929566
217@19,28@0,87484
219@19,86@0,191366
221@20,7@0,371496
223@21,2@0,662919
225@21@0
227@20,68@0,356686
229@21,24@0,580318
231@21,12@0,2889
234@23@0
236@23@0
238@22,86@0,82508
240@23,32@0,803326
242@24,42@2,09701
245@25,42@1,2652
247@434,86@1289,68
249@25,54@1,30248
251@25,24@0,190617
254@25,46@1,18125
256@27,38@2,70978
258@34,82@5,24714
261@29,92@3,42052
263@28,84@1,82788
266@29,14@2,68245
268@28,82@1,44473
271@30,62@2,34936
273@30,26@2,62254
276@31,98@1,96434
278@30,4@0,388689
281@31,62@1,65297
283@31,34@0,199115
286@471,94@1285,91
289@32,66@1,69185
291@33,9@3,43846
294@35,24@1,65895
297@35,5@1,10782
300@35,42@1,08655
302@40,82@3,27714
305@37,68@2,27955
308@37,5@0,994302
311@53,02@27,9603
314@41,68@4,80806
317@46,38@6,58786
