100@41,24@0,755778@76,86@25,1985
101@41,44@1,12716@77,12@25,1297
102@41,34@1,03479@78,96@26,3596
103@41,5@1,27142@78,1@25,5321
104@41,88@1,36325@80,86@27,0621
105@42,66@1,50308@79,4@25,3975
106@42,52@1,44875@80,3@25,9878
107@42,42@0,996161@79,46@25,3396
108@44,28@0,892769@81,04@25,0279
109@44,64@1,64657@80,16@24,1135
110@45,58@1,57301@84,06@25,9909
111@45,58@1,32943@83,66@25,5922
112@46,5@1,09585@84,96@25,7205
113@48,52@1,37126@85,92@24,9159
114@48,14@0,936679@86,96@25,7262
115@48,52@1,35928@86,54@25,1065
116@48,38@1,15885@88,06@26,077
117@48,66@1,01787@88,44@26,0249
118@49,34@1,0862@88,2@25,319
119@51,66@4,15581@90,9@25,7728
120@52,46@1,10461@92,38@25,7919
121@52,62@1,41357@93,96@26,6119
122@53,34@1,7207@93,92@26,0356
124@53,38@1,4306@98,52@28,6996
125@53,72@1,88484@97,86@27,9801
126@55,04@1,79488@98,5@27,436
127@57,1@1,2502@97,96@25,6683
128@57,84@1,63631@99,54@26,1138
129@58,36@1,66477@99,18@25,4679
131@58,76@2,00975@102,04@26,8139
132@58,46@1,32694@101,7@26,6454
133@58,84@1,35091@102,14@26,5833
134@60,8@1,38758@104,22@26,5593
136@62,42@1,45061@103,78@25,1201
137@62,5@1,06195@105,72@26,1317
138@63,32@2,63873@108,04@27,0473
139@63,92@2,26274@109,1@27,1915
141@63,86@1,54374@109,9@27,4598
142@63,9@1,12744@109,54@27,1058
143@65,02@2,75704@111,38@27,5515
145@66,08@2,33072@112,86@27,5689
146@68,44@1,05441@112,56@25,8408
147@68,32@1,40185@112,74@25,9442
149@69,1@1,97722@113,02@25,5189
150@69,28@1,21128@113,78@25,7206
151@69,44@1,29267@112,74@24,9499
153@71,4@4,54175@113,48@24,4805
154@70,36@1,29314@114,82@25,3664
156@72,22@1,92916@122,04@28,2709
157@73,92@1,89481@122,04@27,2217
159@75,74@1,33086@123,68@26,9163
160@76,16@1,28627@122,46@25,9144
162@76,98@1,77253@123,48@25,8941
163@76,84@1,18456@125,96@27,2308
165@77,58@2,23224@124,74@26,0565
166@77,52@1,39811@126,6@26,9724
168@79,22@2,06527@127,3@26,311
169@80,94@3,12919@127,6@25,5719
171@84,24@1,21183@129,76@24,6442
172@84,82@2,14501@129,06@23,9489
174@86,12@2,04445@140,48@29,2116
175@85,92@1,83253@139,7@28,805
177@87,2@2,63612@141,92@29,2026
179@87,4@2,15852@141,78@28,8217
180@89,96@2,63304@142,38@27,753
182@93,86@1,68056@146,64@27,7152
184@95,06@4,76788@145,24@26,5891
185@95,54@2,33472@146,42@26,5541
187@95,6@1,32035@150,58@28,4601
189@97,04@2,04696@148,98@26,7934
191@100,72@2,76296@159,7@30,303
192@104,02@6,14282@160,32@29,3798
194@105,46@1,52373@160,78@28,1258
196@106,58@1,4431@166,12@30,1068
198@106,72@1,63002@164,42@29,0411
200@107,92@1,82713@165,9@29,0475
202@109,22@2,71463@168,38@29,5581
203@109,36@2,73593@166,68@28,5787
205@110,2@3,38865@168,46@28,9714
207@110,88@2,0398@170,3@29,2745
209@117,82@1,82143@171,14@26,1432
211@120,2@2,3568@173,66@26,1304
213@120,2@1,99295@184,54@31,2365
215@121,72@2,47788@185,12@30,6744
217@121,9@2,00518@186,42@31,0354
219@122,6@4,07577@189,1@32,0353
221@124,18@3,86151@189,64@31,3747
223@128,76@3,06954@191,96@30,0831
225@133,3@2,63017@194,92@29,1668
227@135,34@2,13139@193,26@27,2666
229@137,66@2,6077@195,46@27,1338
231@139,42@7,49551@198,18@28,3466
234@138,74@1,83231@199,38@28,0907
236@142,08@3,00683@216,84@34,5422
238@146,02@7,832@220,36@34,9622
240@147,26@3,43731@221,5@34,0597
242@155,28@1,84086@224,72@31,6173
245@155,88@1,76506@227,5@32,4027
247@157@2,27288@226@31,1277
249@157,78@2,32031@227,36@31,2658
251@158,82@2,55722@229,5@31,6495
254@160,1@2,55529@229,1@30,7203
256@161,98@2,5943@231,84@30,9829
258@162,76@2,14686@235,5@32,0939
261@163,96@3,70767@235,68@31,6092
263@166,04@3,53146@240,56@32,6836
266@180,06@2,77937@255,52@32,8339
268@180,72@2,68639@256,1@32,6698
271@183,26@2,56691@262,08@33,9533
273@183,54@2,53937@264@34,5272
276@184,74@2,62072@266,68@34,9743
278@185,88@2,49696@266,22@34,1631
281@190,04@2,85841@270,96@34,2535
283@191,04@3,63431@277,22@36,406
286@190,82@2,47037@274,42@35,0421
289@210,04@2,3322@278,34@28,5046
291@211,22@2,46667@279,04@28,2203
294@214,6@3,15474@303,4@36,7561
297@217,4@3,52002@306,72@36,8171
300@218,66@3,08719@310,6@37,6611
302@219,68@2,9861@315,18@38,973
305@222,14@3,15086@318,18@39,0129
308@225,02@3,54973@322,56@39,46
311@227,36@3,94965@325,5@39,5483
314@233,16@4,41434@331,32@39,4181
317@250,26@1,59021@332,84@32,8352
320@252,6@2,84605@334,2@32,3805
322@253,6@2,89356@335,86@32,5439
325@255,92@3,82127@339,18@32,8801
328@256,98@3,06384@339,54@32,3795
332@259,02@3,84996@341,46@32,2237
335@260,72@3,80968@341,8@31,5548
338@270@12,4063@374,9@42,2105
341@267,52@4,19764@379,74@43,1758
344@268,42@3,82623@382,9@43,8125
347@270,12@3,2589@386,36@44,2443
350@278,88@12,2338@388,12@43,0631
354@299,78@6,45422@390,9@34,8479
357@303,8@2,12363@395,88@34,5254
360@307,58@3,63248@404,68@36,3689
364@313,28@9,01374@406,74@35,7922
367@311,22@3,51973@412,5@37,5485
370@316,44@5,61184@412,94@35,9152
374@320,64@5,38405@418,76@36,278
377@321,82@4,16483@426,32@38,2839
381@325,74@5,08087@424,44@36,1144
384@329,14@6,78464@426,92@35,9297
388@332,22@5,58869@434,52@37,1464
391@334,2@4,73113@485,64@54,3611
395@354,42@7,4205@480,36@45,4177
399@377,64@2,82733@488,54@39,3599
402@381,88@5,98324@489,8@38,5279
406@381,04@1,81667@500,58@41,9896
410@388,74@4,43589@503,24@40,2304
414@393,32@4,47183@517,18@43,276
417@396,82@5,45603@517,28@42,0672
421@402,38@6,87758@523,66@42,3579
425@402,24@5,12046@536@46,1642
429@407,78@4,35718@529,12@41,6533
433@414,04@6,97967@536,96@42,349
437@418,4@10,5016@540,38@42,5758
441@454,4@14,042@552,16@35,7874
445@475,38@2,34821@571,72@32,3785
449@479,76@2,38552@626,86@49,1458
454@492,34@6,08009@634,6@47,6005
458@491,72@2,65731@636,3@47,8444
462@490,92@2,82754@644,64@50,6492
466@499,1@7,91756@644,98@48,4361
471@501,76@5,51722@655,6@50,4265
475@507,1@5,63532@661,94@50,5518
479@515,38@7,51308@663,8@48,5373
484@520,62@9,0064@675,7@50,6517
488@521,5@7,56265@678,22@50,7317
493@526,72@7,59979@690,44@52,69
497@530,84@9,94722@699,3@54,3503
502@540,38@9,3963@708,42@53,8589
507@570,44@13,0834@720,54@48,919
511@619,44@3,35223@721,34@32,0507
516@623,08@3,19874@722,46@31,1006
521@628,68@3,7146@724,42@29,8909
526@632,42@3,31668@739,66@33,2294
531@635,96@2,54597@742,26@32,7182
535@638,54@3,02773@827,54@57,8583
540@646,16@9,02104@846,72@61,6916
545@649,04@3,43803@857,64@63,2766
550@654,1@2,60506@864,26@63,4192
556@664,22@7,46775@871,06@62,4751
561@686,08@16,6415@882,76@61,0297
566@682,96@10,2017@888,1@61,8191
571@686,72@10,6225@895,18@62,5944
576@695,34@9,96933@903,92@62,2569
582@700,48@10,219@914,22@63,4763
587@699,24@11,2125@924,1@66,5773
593@706,78@9,85344@921,16@63,0254
598@724,6@14,1606@935,4@62,5776
604@751,06@17,5557@940,48@57,2573
609@843,22@3,65341@968,36@36,0425
615@853,36@4,23603@980,06@36,3738
621@858,42@3,85489@983,58@35,723
626@868,2@4,99361@990,52@34,9285
632@872,98@3,7066@1008,26@38,2306
638@880,06@4,89495@1020,38@39,5859
644@886,22@4,26246@1016,32@36,5007
650@892,4@3,91918@1029,44@38,2096
656@898,74@3,44017@1050,82@42,1268
662@904,78@3,84609@1077,78@47,7
668@911,08@3,31881@1220@84,5819
674@922,48@3,17082@1230,72@84,0144
681@940,6@10,9621@1244,32@83,024
687@946,44@10,9919@1253,92@83,6765
693@957,54@13,5925@1276,88@86,8474
700@972,44@14,4318@1277,12@82,6982
706@981,38@14,7291@1290,4@83,546
713@991,9@14,8064@1303,84@83,9224
719@999,46@17,5857@1315,6@85,2027
726@1015,14@20,4062@1318,08@82,0783
733@1146,54@26,9253@1351,64@59,9534
739@1217,6@4,77703@1348,56@34,3978
746@1233,92@4,61837@1364,48@34,1148
753@1243,52@6,85464@1370,96@33,547
760@1251,28@4,48008@1385,36@34,6814
767@1261,36@4,33588@1416,68@39,8929
774@1271,52@4,89535@1416,34@37,1322
781@1279,2@4,54428@1464,52@47,1099
789@1289,28@5,43542@1445,48@39,6952
796@1302@5,30194@1468,06@41,9555
803@1306,24@4,12584@1478,02@43,0628
811@1319,68@4,81608@1499,44@44,8933
818@1328,32@3,83442@1508,76@44,7754
826@1340,16@4,99863@1517,84@44,0002
834@1393,4@71,0348@1542,42@79,858
841@1366,56@4,52767@1557,6@46,8008
849@1387,52@20,6702@1557,86@46,2177
857@1399,5@17,1556@1872,28@115,478
865@1414,88@17@1918,28@122,217
873@1432,92@20,3856@1930,7@120,86
881@1460,86@27,3757@1958,62@121,7
889@1472,36@27,3922@1977,76@122,949
897@1480,6@26,8689@1984,54@121,974
906@1495,86@28,0687@1999,24@121,54
914@1501,62@22,8772@2028,3@125,292
922@1541,48@34,5134@2038,16@120,703
931@1821,78@35,646@2059,18@65,5547
940@1904,34@7,32245@2076,02@40,2664
