1000@273,62@2,37861
1072@274,62@0,745496
1150@277,36@0,446747
1233@278,62@0,364459
1322@282,76@0,399622
1417@287,64@0,270288
1520@289,14@0,521902
1630@292,46@0,22212
1748@296,32@0,305255
1874@300,06@0,308904
2009@304,04@0,854794
2154@305,28@0,512644
2310@308,88@0,857177
2477@310,08@0,312361
2656@315,36@0,641652
2848@317,96@0,196457
3054@320,04@0,207836
3275@326,12@0,710076
3511@329@0,395791
3765@331,56@0,266959
4037@336,14@0,3823
4329@337,38@0,229384
4642@342,38@0,490711
4977@345,36@0,187793
5337@349,68@0,150497
5722@354,14@0,237229
6136@358,08@0,240762
6579@361,44@0,289745
7055@365,98@0,263805
7565@370,22@0,115306
8111@374,92@0,208818
8697@372,3@0,143263
9326@377,14@0,154987
10000@381,28@0,0969948
10723@386,82@0,134984
11498@392,44@0,118082
12328@402,24@0,148298
13219@407,86@0,287945
14175@411,32@0,10317
15199@416,58@0,107664
16298@418@0,0913487
17475@422,96@0,0968517
18738@430@0,0900659
20092@434,1@0,069303
21544@439,42@0,0899158
23101@439,08@0,0783139
24771@444,54@0,0643014
26561@445,62@0,0849727
28480@455,16@0,0702923
30539@459,38@0,0449776
32745@465,58@0,0449563
35112@462,98@0,0503406
37649@475,56@0,0619137
40370@474,5@0,0452062
43288@480,32@0,0549861
46416@488,66@0,174243
49770@484,92@0,0661341
53367@488,64@0,0316681
57224@501,86@0,0450274
61359@505,26@0,037355
65793@501,6@0,170115
70548@506,98@0,0427581
75646@517,08@0,0359344
81113@514,98@0,0291619
86975@527,08@0,073015
93260@525,02@0,0420599
100000@536,34@0,0217302
107227@537,72@0,0248246
114976@544,56@0,118125
123285@556,4@0,111765
132194@565,72@0,0285935
141747@575,92@0,0221716
151991@586,3@0,0230138
162975@584,4@0,0341441
